cursor,author,mid,content,ctime,likes,score,final_watch,date
77021653373519,九天鸾舞,20022549,赞赞赞赞赞≧﹏≦！,1549607322,0,10,看至第9话,2019-02-08 06:28:42
77021653373519,Gch555,35846460,挺好的动漫的吧，并不是来看血小板的，但感觉真的很好看,1549601592,0,10,看至第1话,2019-02-08 04:53:12
77021653373519,灵柒酱,85678427,超级棒！喜欢！,1549591791,0,10,看至第12话,2019-02-08 02:09:51
77021653373519,顾夏时Natsuki,38236172,2018/10/13一周目追番完毕，很好的一部番(我实在想不出打什么话了)完结撒花，感谢陪伴(⌒▽⌒),1537012482,0,10,看至第13话,2018-09-15 11:54:42
77021653373519,好基难寻,3722827,怎么说呢？就很棒！,1549574123,0,8,看至第13话,2019-02-07 21:15:23
77021653373519,覃朝不在,22321828,一边复习生物一边看还是挺有乐趣的（为此我充了大会员orz）,1549549467,0,10,看至第4话,2019-02-07 14:24:27
77021653373519,千绪良奈依,34624162,超好看的番剧不容错过哦,1549543783,0,10,看至Special,2019-02-07 12:49:43
77021653373519,何期啊,12787038,好看，好吧，其实我想打四星，因为，这集数太短了......不够看......,1549543095,0,10,看至第1话,2019-02-07 12:38:15
77021653373519,curry2013,28890702,血小板！萌死了！,1549537971,0,10,看至Special,2019-02-07 11:12:51
77021653373519,夜ら凌枭゛,23320076,第一次感觉我的生物学科有救了。每一集的努力和汗水让我明白了，要珍惜自己的身体，总有人是爱你的。,1549520279,0,10,看至Special,2019-02-07 06:17:59
77021653373519,一首悠然曲,90973278,好好看,1549518693,0,10,看至第8话,2019-02-07 05:51:33
77021653373519,一米九的灰,4042732,血小板超可爱啊  杀手t和调节t的cp也很萌啊~ 最后的沙雕细胞23333,1549518079,0,10,看至幕后SP,2019-02-07 05:41:19
77021653373519,神奇的幻术,226332101,……,1549510064,0,8,看至第13话,2019-02-07 03:27:44
77021653373519,一坊通行,28410598,作画剧情恋爱卖萌战斗搞笑科普热血正能量大场面都齐活了，还有什么不满意的？(≧▽≦),1549401846,2,10,看至第11话,2019-02-05 21:24:06
